Accuracy (%),Tolerance (%),SNR(dB),Type
25,5,-20,MFCCs
44,5,-10,MFCCs
48,5,0,MFCCs
43,10,-20,MFCCs
67,10,-10,MFCCs
69,10,0,MFCCs
51,15,-20,MFCCs
76,15,-10,MFCCs
82,15,0,MFCCs
20,5,-20,MobileNetv2
19,5,-10,MobileNetv2
37,5,0,MobileNetv2
39,10,-20,MobileNetv2
37,10,-10,MobileNetv2
59,10,0,MobileNetv2
47,15,-20,MobileNetv2
50,15,-10,MobileNetv2
74,15,0,MobileNetv2
22,5,-20,VGGish
76,5,-10,VGGish
77,5,0,VGGish
32,10,-20,VGGish
89,10,-10,VGGish
90,10,0,VGGish
42,15,-20,VGGish
93,15,-10,VGGish
94,15,0,VGGish
66,5,-20,WFLEN
77,5,-10,WFLEN
76,5,0,WFLEN
85,10,-20,WFLEN
89,10,-10,WFLEN
92,10,0,WFLEN
89,15,-20,WFLEN
93,15,-10,WFLEN
95,15,0,WFLEN
